,lat,lon
1195,60.9,6.66
1196,60.9,6.82
1197,60.9,6.99
1198,60.9,7.16
1199,60.9,7.33
1200,60.9,7.5
1201,60.9,7.67
1202,60.9,7.83
1203,60.9,8.0
1204,60.9,8.17
1205,60.9,8.34
1206,60.9,8.51
1207,60.9,8.68
1208,60.9,8.84
1209,60.9,9.01
1210,60.9,9.18
1211,60.9,9.35
1212,60.9,9.52
1213,60.9,9.69
1214,60.9,9.85
1215,60.9,10.02
1216,60.9,10.19
1217,60.9,10.36
1218,60.9,10.53
1219,60.9,10.7
1220,60.9,10.87
1221,60.9,11.03
1222,60.9,11.2
1223,60.9,11.37
1224,60.9,11.54
1225,60.9,11.71
1226,60.9,11.88
1227,60.9,12.04
1228,60.9,12.21
1229,60.9,12.38
1230,60.99,4.8
1231,60.99,4.97
1232,60.99,5.14
1233,60.99,5.31
1234,60.99,5.48
1235,60.99,5.64
1236,60.99,5.81
1237,60.99,5.98
1238,60.99,6.15
1239,60.99,6.32
1240,60.99,6.49
1241,60.99,6.66
1242,60.99,6.82
1243,60.99,6.99
1244,60.99,7.16
1245,60.99,7.33
1246,60.99,7.5
1247,60.99,7.67
1248,60.99,7.83
1249,60.99,8.0
1250,60.99,8.17
1251,60.99,8.34
1252,60.99,8.51
1253,60.99,8.68
1254,60.99,8.84
1255,60.99,9.01
1256,60.99,9.18
1257,60.99,9.35
1258,60.99,9.52
1259,60.99,9.69
1260,60.99,9.85
1261,60.99,10.02
1262,60.99,10.19
1263,60.99,10.36
1264,60.99,10.53
1265,60.99,10.7
1266,60.99,10.87
1267,60.99,11.03
1268,60.99,11.2
1269,60.99,11.37
1270,60.99,11.54
1271,60.99,11.71
1272,60.99,11.88
1273,60.99,12.04
1274,60.99,12.21
1275,60.99,12.38
1276,61.07,4.8
1277,61.07,4.97
1278,61.07,5.14
1279,61.07,5.31
1280,61.07,5.48
1281,61.07,5.64
1282,61.07,5.81
1283,61.07,5.98
1284,61.07,6.15
1285,61.07,6.32
1286,61.07,6.49
1287,61.07,6.66
1288,61.07,6.82
1289,61.07,6.99
1290,61.07,7.16
1291,61.07,7.33
1292,61.07,7.5
1293,61.07,7.67
1294,61.07,7.83
1295,61.07,8.0
1296,61.07,8.17
1297,61.07,8.34
1298,61.07,8.51
1299,61.07,8.68
1300,61.07,8.84
1301,61.07,9.01
1302,61.07,9.18
1303,61.07,9.35
1304,61.07,9.52
1305,61.07,9.69
1306,61.07,9.85
1307,61.07,10.02
1308,61.07,10.19
1309,61.07,10.36
1310,61.07,10.53
1311,61.07,10.7
1312,61.07,10.87
1313,61.07,11.03
1314,61.07,11.2
1315,61.07,11.37
1316,61.07,11.54
1317,61.07,11.71
1318,61.07,11.88
1319,61.07,12.04
1320,61.07,12.21
1321,61.07,12.38
1322,61.15,4.8
1323,61.15,4.97
1324,61.15,5.14
1325,61.15,5.31
1326,61.15,5.48
1327,61.15,5.64
1328,61.15,5.81
1329,61.15,5.98
1330,61.15,6.15
1331,61.15,6.32
1332,61.15,6.49
1333,61.15,6.66
1334,61.15,6.82
1335,61.15,6.99
1336,61.15,7.16
1337,61.15,7.33
1338,61.15,7.5
1339,61.15,7.67
1340,61.15,7.83
1341,61.15,8.0
1342,61.15,8.17
1343,61.15,8.34
1344,61.15,8.51
1345,61.15,8.68
1346,61.15,8.84
1347,61.15,9.01
1348,61.15,9.18
1349,61.15,9.35
1350,61.15,9.52
1351,61.15,9.69
1352,61.15,9.85
1353,61.15,10.02
1354,61.15,10.19
1355,61.15,10.36
1356,61.15,10.53
1357,61.15,10.7
1358,61.15,10.87
1359,61.15,11.03
