lat,lon,country
59.04,6.59,Norway
59.04,6.68,Norway
59.04,6.76,Norway
59.04,6.85,Norway
59.04,6.93,Norway
59.04,7.02,Norway
59.04,7.1,Norway
59.04,7.19,Norway
59.04,7.27,Norway
59.04,7.36,Norway
59.04,7.44,Norway
59.04,7.53,Norway
59.04,7.61,Norway
59.04,7.7,Norway
59.04,7.78,Norway
59.04,7.87,Norway
59.04,7.95,Norway
59.04,8.04,Norway
59.04,8.12,Norway
59.04,8.21,Norway
59.04,8.29,Norway
59.04,8.38,Norway
59.04,8.46,Norway
59.04,8.55,Norway
59.04,8.63,Norway
59.04,8.72,Norway
59.04,8.8,Norway
59.04,8.89,Norway
59.04,8.97,Norway
59.04,9.06,Norway
59.04,9.14,Norway
59.04,9.23,Norway
59.04,9.31,Norway
59.04,9.4,Norway
59.04,9.48,Norway
59.04,9.57,Norway
59.04,9.65,Norway
59.04,9.74,Norway
59.04,9.82,Norway
59.04,9.91,Norway
59.04,9.99,Norway
59.04,10.08,Norway
59.04,10.16,Norway
59.04,10.84,Norway
59.04,10.93,Norway
59.04,11.01,Norway
59.04,11.1,Norway
59.04,11.44,Norway
59.04,11.52,Norway
59.04,11.61,Norway
59.04,11.69,Norway
59.08,5.57,Norway
59.08,5.66,Norway
59.08,5.74,Norway
59.08,5.83,Norway
59.08,5.91,Norway
59.08,6.0,Norway
59.08,6.08,Norway
59.08,6.17,Norway
59.08,6.25,Norway
59.08,6.34,Norway
59.08,6.42,Norway
59.08,6.51,Norway
59.08,6.59,Norway
59.08,6.68,Norway
59.08,6.76,Norway
59.08,6.85,Norway
59.08,6.93,Norway
59.08,7.02,Norway
59.08,7.1,Norway
59.08,7.19,Norway
59.08,7.27,Norway
59.08,7.36,Norway
59.08,7.44,Norway
59.08,7.53,Norway
59.08,7.61,Norway
59.08,7.7,Norway
59.08,7.78,Norway
59.08,7.87,Norway
59.08,7.95,Norway
59.08,8.04,Norway
59.08,8.12,Norway
59.08,8.21,Norway
59.08,8.29,Norway
59.08,8.38,Norway
59.08,8.46,Norway
59.08,8.55,Norway
59.08,8.63,Norway
59.08,8.72,Norway
59.08,8.8,Norway
59.08,8.89,Norway
59.08,8.97,Norway
59.08,9.06,Norway
59.08,9.14,Norway
59.08,9.23,Norway
59.08,9.31,Norway
59.08,9.4,Norway
59.08,9.48,Norway
59.08,9.57,Norway
59.08,9.65,Norway
59.08,9.74,Norway
59.08,9.82,Norway
59.08,9.91,Norway
59.08,9.99,Norway
59.08,10.08,Norway
59.08,10.16,Norway
59.08,10.25,Norway
59.08,10.33,Norway
59.08,10.42,Norway
59.08,10.84,Norway
59.08,10.93,Norway
59.08,11.01,Norway
59.08,11.1,Norway
59.08,11.18,Norway
59.08,11.27,Norway
59.08,11.35,Norway
59.08,11.44,Norway
59.08,11.52,Norway
59.08,11.61,Norway
59.08,11.69,Norway
59.12,5.57,Norway
59.12,5.66,Norway
59.12,5.74,Norway
59.12,5.83,Norway
59.12,5.91,Norway
59.12,6.0,Norway
59.12,6.08,Norway
59.12,6.17,Norway
59.12,6.25,Norway
59.12,6.34,Norway
59.12,6.42,Norway
59.12,6.51,Norway
59.12,6.59,Norway
59.12,6.68,Norway
59.12,6.76,Norway
59.12,6.85,Norway
59.12,6.93,Norway
59.12,7.02,Norway
59.12,7.1,Norway
59.12,7.19,Norway
59.12,7.27,Norway
59.12,7.36,Norway
59.12,7.44,Norway
59.12,7.53,Norway
59.12,7.61,Norway
59.12,7.7,Norway
59.12,7.78,Norway
59.12,7.87,Norway
59.12,7.95,Norway
59.12,8.04,Norway
59.12,8.12,Norway
59.12,8.21,Norway
59.12,8.29,Norway
59.12,8.38,Norway
59.12,8.46,Norway
59.12,8.55,Norway
59.12,8.63,Norway
59.12,8.72,Norway
59.12,8.8,Norway
59.12,8.89,Norway
59.12,8.97,Norway
59.12,9.06,Norway
59.12,9.14,Norway
59.12,9.23,Norway
59.12,9.31,Norway
